Neighborhood,Latitude,Longitude
Palacio,40.41512925,-3.71561799839909
Embajadores,40.40968055,-3.70164442641322
Cortes,40.4147791,-3.6975842
Justicia,40.4239569,-3.69574732085505
Universidad,40.4254085,-3.7059885
Sol,40.4178272,-3.70222208991507
Imperial,40.4057995,-3.7186854
Acacias,40.4040749,-3.7059572
Chopera,40.39489315,-3.69970511346301
Legazpi,40.3888862,-3.6909955
Delicias,40.39729215,-3.68949484969473
Palos de Moguer,40.40363845,-3.69528902840512
Atocha,40.4052036,-3.68792959433342
Pacífico,40.4050754,-3.6789373
Adelfas,40.40027955,-3.67177363780976
Estrella,40.41441435,-3.66521789344363
Ibiza,40.4189526,-3.6737251
Jerónimos,40.4137286,-3.68535643549675
Niño Jesús,40.4134414,-3.67333679089834
Recoletos,40.42417315,-3.68548726497414
Goya,40.4248165,-3.6758426
Fuente del Berro,40.42513105,-3.66423759698396
La Guindalera,40.4362387,-3.66796955160589
Lista,40.4314174,-3.6774378
Castellana,40.43382275,-3.68400358245116
El Viso,40.44362125,-3.68498854736031
Prosperidad,40.44541425,-3.66655757224694
Ciudad Jardín,40.44674675,-3.67412294155298
Hispanoamérica,40.4558141,-3.6769036299546
Nueva España,40.46295245,-3.67801154823246
Castilla,40.47498925,-3.68045139316356
Bellas Vistas,40.45226305,-3.70744452722192
Cuatro Caminos,40.4518289,-3.6991932
Castillejos,40.4598788,-3.694067
Almenara,40.4701962,-3.6936379
Valdeacederas,40.46715645,-3.70458384833893
Berruguete,40.4593875,-3.70492373999798
Gaztambide,40.43467955,-3.71490270979186
Arapiles,40.43418655,-3.70792253324742
Trafalgar,40.4332491,-3.70124589579836
Almagro,40.4313814,-3.69301420454145
Ríos Rosas,40.44279905,-3.6999916
Vallehermoso,40.4430572,-3.71168099208445
El Pardo,40.5205538,-3.7780738
Fuentelarreina,40.48081985,-3.73943553833747
Peñagrande,40.47791255,-3.72767819186105
El Pilar,40.4771334,-3.7089157
La Paz,40.48212215,-3.69521126789598
Valverde,40.5011401,-3.67859163522496
Mirasierra,40.4906361,-3.7161379
El Goloso,40.5454513,-3.694013
Casa de Campo,40.42406795,-3.75585755728847
Argüelles,40.4283434,-3.7176358
Ciudad Universitaria,40.4436804,-3.7268294
Valdezarza,40.46530915,-3.71695805610135
Valdemarín,40.46685345,-3.78709252817162
El Plantío,40.468442,-3.81769597968787
Aravaca,40.457749,-3.7827941
Puerta del Ángel,40.4137225,-3.7271715
Lucero,40.4048009,-3.7452693
Aluche,40.3879228,-3.7548539
Campamento,40.3841078,-3.786398
Cuatro Vientos,40.369905,-3.76637
Las Águilas,40.3827056,-3.772657
Comillas,40.39282545,-3.71418695417844
Opañel,40.3869032,-3.7231858
San Isidro,40.3956978,-3.7315401
Vista Alegre,40.3887883,-3.7400441
Puerta Bonita,40.379557,-3.7417411
Buenavista,40.368624,-3.7524841
Abrantes,40.3809981,-3.7279849
Orcasitas,40.36727875,-3.7125090956062
Orcasur,40.37415595,-3.69876507544298
San Fermín,40.3719909,-3.69039203316657
Almendrales,40.3836929,-3.69909586882439
Moscardó,40.3900156,-3.70542433597773
Zofío,40.3798077,-3.71521158874426
Pradolongo,40.37863215,-3.70595018929919
Entrevías,40.380284,-3.6691818
San Diego,40.3894387,-3.66774112631767
Palomeras Bajas,40.3851802,-3.65848709930719
Palomeras Sureste,40.3871008,-3.63447280486921
Portazgo,40.39037255,-3.64817792782876
Numancia,40.3987461,-3.65811860761511
Pavones,40.39855825,-3.63232194428938
Horcajo,40.4081864,-3.6267762
Marroquina,40.4107193,-3.6405684
Media Legua,40.4120952,-3.65700533611857
Fontarrón,40.4017365,-3.64433059400092
Vinateros,40.4051965,-3.6415467
Ventas,40.4240502,-3.65030377813628
Pueblo Nuevo,40.4292799,-3.6398298
Quintana,40.4373728,-3.64360991853228
Concepción,40.4391188,-3.64889625803865
San Pascual,40.44292125,-3.65391682191173
San Juan Bautista,40.4508788,-3.6559241083633
Colina,40.45824765,-3.65970566684994
Atalaya,40.46380445,-3.66457884793727
Costillares,40.47538345,-3.66983199759217
Palomas,40.4522376,-3.6141158
Piovera,40.4555687,-3.63658157275143
Canillas,40.4629521,-3.6415426922281
Pinar del Rey,40.4728164,-3.6492714
Apóstol Santiago,40.4762043,-3.658016311573
Valdefuentes,40.49052005,-3.63832070884928
Villaverde Alto,40.34642,-3.7077264
San Cristóbal,40.34326305,-3.6883522973949
Butarque,40.3399339,-3.67338785851676
Los Rosales,40.3558406,-3.68839888963864
Los Ángeles,40.3551089,-3.70010471415375
Casco Histórico de Vallecas,40.34820155,-3.61531961684106
Santa Eugenia,40.38340315,-3.61349307687978
Ensanche de Vallecas,40.36497555,-3.59990472390095
Casco Histórico de Vicálvaro,40.3879435,-3.57627401556664
Valdebernardo,40.3999118,-3.621522
El Cañaveral,40.4014921,-3.5537872
Simancas,40.4359188,-3.6267168
Hellín,40.4313222,-3.61676886829529
Amposta,40.4259727,-3.62227306026854
Arcos,40.421392,-3.6184184
Rosas,40.42871335,-3.59375800152108
Rejas,40.4440818,-3.56965613984695
Canillejas,40.4473219,-3.608456
Salvador,40.4441255,-3.62798728008162
Alameda de Osuna,40.4575814,-3.5879745
Aeropuerto,40.4948384,-3.57408062068113
Timón,40.476792,-3.5946439
Corralejos,40.4654277,-3.594907
Los Cármenes,40.4015877,-3.7373487
Casco Histórico de Barajas,40.4745592,-3.5799233
Valderrivas,40.3975093,-3.6068511
